"year","state","population","violent.crime.total","murder.and.nonnegligent.manslaughter.total","legacy.rape.total","revised.rape.total","robbery.total","aggravated.assault.total","property.crime.total","burglary.total","larceny.theft.total","motor.vehicle.theft.total","violent.nr.crime.total","aggregate.crime.total","violent.crime.rate","murder.and.nonnegligent.manslaughter.rate","legacy.rape.rate","revised.rape.rate","robbery.rate","aggravated.assault.rate","property.crime.rate","burglary.rate","larceny.theft.rate","motor.vehicle.theft.rate","violent.nr.crime.rate","aggregate.crime.rate","violent.crime.rate.chg","murder.and.nonnegligent.manslaughter.rate.chg","legacy.rape.rate.chg","revised.rape.rate.chg","robbery.rate.chg","aggravated.assault.rate.chg","property.crime.rate.chg","burglary.rate.chg","larceny.theft.rate.chg","motor.vehicle.theft.rate.chg","violent.nr.crime.rate.chg","aggregate.crime.rate.chg"
1985,"California",26365000,201763,2770,11421,NA,86387,101185,1516710,448506,890967,177237,190342,1707052,765.268348188887,10.5063531196662,43.3187938554902,NA,327.65787976484,383.785321448891,5752.74037549782,1701.14166508629,3379.35520576522,672.243504646311,721.949554333397,6474.68992983121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,"California",26981000,248370,3038,12119,NA,92512,140701,1576299,457698,913004,205597,236251,1812550,920.536673955747,11.2597753975019,44.9167932989882,NA,342.878321781995,521.481783477262,5842.25566139135,1696.37152069975,3383.87754345651,762.006597235091,875.619880656758,6717.87554204811,155.26832576686,0.753422277835721,1.59799944349795,NA,15.220442017155,137.696462028371,89.5152858935307,-4.77014438653691,4.52233769128725,89.76309258878,153.670326323362,243.185612216893
1987,"California",27663000,253943,2924,12109,NA,83341,155569,1545928,419969,896335,229624,241834,1787762,917.987926110689,10.5700755521816,43.7732711564183,NA,301.272457795612,562.372121606478,5588.43220185808,1518.16144308282,3240.19448360626,830.076275168998,874.214654954271,6462.64685681235,-2.54874784505739,-0.689699845320332,-1.14352214256986,NA,-41.6058639863832,40.8903381292163,-253.823459533271,-178.210077616934,-143.683059850245,68.0696779339069,-1.40522570248743,-255.228685235759
1988,"California",28168000,261912,2936,11780,NA,86141,161055,1607180,407631,933636,265913,250132,1857312,929.821073558648,10.4231752343084,41.8205055381994,NA,305.811559216132,571.765833570009,5705.69440499858,1447.1421471173,3314.52712297643,944.025134904857,888.000568020449,6593.69497301903,11.8331474479589,-0.146900317873177,-1.95276561821894,NA,4.5391014205203,9.39371196353056,117.262203140502,-71.0192959655219,74.3326393701664,113.948859735858,13.7859130661777,131.048116206681
1989,"California",29063000,284136,3158,11966,NA,96431,172581,1681516,410468,972603,298445,272170,1953686,977.65543818601,10.8660496163507,41.172624987097,NA,331.799883012765,593.816880569797,5785.76196538554,1412.33871245226,3346.53339297388,1026.8898599594,936.482813198913,6722.24477858445,47.8343646273615,0.44287438204225,-0.647880551102382,NA,25.9883237966336,22.0510469997881,80.0675603869622,-34.8034346650372,32.0062699974565,82.864725054542,48.4822451784639,128.549805565425
1990,"California",29760021,311051,3553,12688,NA,112208,182602,1654186,400392,951580,302214,298363,1952549,1045.1975151496,11.9388356614399,42.6343785174076,NA,377.0427446943,613.581556276456,5558.41677665483,1345.40227642985,3197.51118455192,1015.50331567306,1002.5631366322,6560.97991328702,67.5420769635931,1.0727860450892,1.46175353031064,NA,45.2428616815344,19.7646757066589,-227.345188730714,-66.9364360224138,-149.022208421964,-11.3865442863349,66.0803234332825,-161.26486529743
1991,"California",30380000,331122,3859,12896,NA,124939,189428,1726391,424656,986120,315615,318226,2044617,1089.93416721527,12.7024358130349,42.4489795918367,NA,411.254114549045,623.528637261356,5682.65635286373,1397.81435154707,3245.9512837393,1038.89071757735,1047.48518762344,6730.14154048716,44.7366520656703,0.763600151595002,-0.185398925570901,NA,34.2113698547456,9.94708098490059,124.239576208898,52.4120751172252,48.4400991873822,23.38740190429,44.9220509912413,169.161627200138
1992,"California",30867000,345624,3921,12761,NA,130897,198045,1716137,427491,968534,320112,332863,2049000,1119.72008941588,12.7028865778987,41.341886156737,NA,424.067774646062,641.607542035183,5559.77905206207,1384.9450869861,3137.76525091522,1037.06871416075,1078.37820325914,6638.15725532122,29.785922200608,0.000450764863836994,-1.10709343509976,NA,12.8136600970168,18.078904773827,-122.877300801653,-12.8692645609688,-108.186032824085,-1.8220034165995,30.8930156357076,-91.984285165945
1993,"California",31211000,336381,4096,11766,NA,126436,194083,1678884,414182,945407,319295,324615,2003499,1077.76424978373,13.1235782256256,37.6982474127711,NA,405.100765755663,621.84165838967,5379.14196917753,1327.03854410304,3029.08269520361,1023.02072987088,1040.06600237096,6419.20797154849,-41.9558396321511,0.420691647726853,-3.64363874396583,NA,-18.9670088903991,-19.7658836455129,-180.637082884539,-57.9065428830611,-108.682555711603,-14.0479842898752,-38.3122008881853,-218.949283772725
1994,"California",31431000,318395,3703,10984,NA,112160,191548,1622102,384257,929640,308205,307411,1929513,1012.9967229805,11.781362349273,34.9463905061882,NA,356.845152874551,609.423817250485,5160.83484458019,1222.54143997964,2957.71690369381,980.576500906748,978.050332474309,6138.8851770545,-64.7675268032331,-1.34221587635257,-2.75185690658298,NA,-48.2556128811124,-12.4178411391852,-218.307124597342,-104.497104123403,-71.3657915098088,-42.4442289641308,-62.01566989665,-280.322794493992
