"year","state","population","violent.crime.total","murder.and.nonnegligent.manslaughter.total","legacy.rape.total","revised.rape.total","robbery.total","aggravated.assault.total","property.crime.total","burglary.total","larceny.theft.total","motor.vehicle.theft.total","violent.nr.crime.total","aggregate.crime.total","violent.crime.rate","murder.and.nonnegligent.manslaughter.rate","legacy.rape.rate","revised.rape.rate","robbery.rate","aggravated.assault.rate","property.crime.rate","burglary.rate","larceny.theft.rate","motor.vehicle.theft.rate","violent.nr.crime.rate","aggregate.crime.rate","violent.crime.rate.chg","murder.and.nonnegligent.manslaughter.rate.chg","legacy.rape.rate.chg","revised.rape.rate.chg","robbery.rate.chg","aggravated.assault.rate.chg","property.crime.rate.chg","burglary.rate.chg","larceny.theft.rate.chg","motor.vehicle.theft.rate.chg","violent.nr.crime.rate.chg","aggregate.crime.rate.chg"
1985,"Ex-California",212374000,1126994,16206,77248,NA,411481,622059,9585840,2624839,6035376,925625,1049746,10635586,530.664770640474,7.63087760271973,36.3735673858382,NA,193.753001779879,292.907323872037,4513.65986420183,1235.95119929935,2841.86199817303,435.846666729449,494.291203254636,5007.95106745647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,"Ex-California",214077000,1240799,17575,79340,NA,450263,693621,10146401,2783712,6344149,1018540,1161459,11307860,579.604067695269,8.20966287831014,37.0614311672903,NA,210.327592408339,324.005381241329,4739.6035071493,1300.33212348828,2963.48930524998,475.782078411039,542.542636527978,5282.14614367728,48.9392970547947,0.578785275590411,0.68786378145208,NA,16.5745906284602,31.098057369292,225.943642947464,64.3809241889282,121.627307076946,39.93541168159,48.2514332733426,274.195076220807
1987,"Ex-California",215736000,1230056,17172,79002,NA,434363,699519,10478781,2816215,6603516,1059050,1151054,11629835,570.167241443245,7.95972855712538,36.6197574813661,NA,201.340063781659,324.247691623095,4857.22410724218,1305.39872807505,3060.92446323284,490.90091593429,533.547483961879,5390.77159120406,-9.43682625202314,-0.249934321184766,-0.441673685924158,NA,-8.98752862667999,0.24231038176589,117.620600092888,5.0666045867772,97.4351579828599,15.118837523251,-8.99515256609891,108.625447526789
1988,"Ex-California",217642000,1304309,17739,80706,NA,456827,749037,10749685,2810446,6772236,1167003,1223603,11973288,599.291037575468,8.15054079635365,37.0819970410123,NA,209.898365205245,344.160134532857,4939.15926153959,1291.31601437223,3111.64021650233,536.203030665037,562.209040534456,5501.36830207405,29.1237961322225,0.19081223922827,0.462239559646193,NA,8.55830142358627,19.9124429097618,81.9351542974082,-14.0827137028289,50.7157532694896,45.302114730747,28.6615565725763,110.596710869984
1989,"Ex-California",219180000,1361901,18342,82538,NA,481895,779126,10923896,2757702,6899839,1266355,1279363,12203259,621.361894333425,8.36846427593759,37.6576329957113,NA,219.862669951638,355.473127110138,4983.98394014052,1258.19052833288,3148.02399854001,577.769413267634,583.704261337713,5567.68820147824,22.0708567579566,0.21792347958394,0.575635954698981,NA,9.96430474639257,11.312992577281,44.8246786009313,-33.1254860393487,36.3837820376834,41.5663826025968,21.4952208032577,66.3198994041895
1990,"Ex-California",218949852,1509076,19885,89867,NA,527063,872261,11001300,2673517,6994090,1333693,1419209,12420509,689.233624145131,9.08198832671511,41.0445584589845,NA,240.723158835476,398.383918523955,5024.57521642901,1221.06362510809,3194.37987105833,609.131720262592,648.189065686146,5672.76428211516,67.8717298117062,0.71352405077752,3.38692546327319,NA,20.8604888838383,42.9107914138172,40.5912762884873,-37.1269032247862,46.3558725183152,31.3623069949584,64.4848043484329,105.07608063692
1991,"Ex-California",221801000,1580645,20844,93697,NA,562793,903311,11234725,2732494,7156108,1346123,1486948,12721673,712.641061131374,9.39761317577468,42.2437229769027,NA,253.737810018891,407.261914959806,5065.22738851493,1231.95747539461,3226.36417329047,606.905739829847,670.397338154472,5735.6247266694,23.4074369862437,0.315624849059576,1.19916451791824,NA,13.0146511834147,8.8779964358514,40.6521720859182,10.8938502865196,31.9843022321438,-2.2259804327449,22.2082724683255,62.8604445542442
1992,"Ex-California",224214000,1586650,19839,96301,NA,541581,928929,10789780,2552393,6946665,1290722,1490349,12280129,707.64983453308,8.84824319623217,42.9504848046955,NA,241.546468998368,414.304637533785,4812.26863621362,1138.37360735726,3098.22981615778,575.665212698583,664.699349728385,5476.967985942,-4.99122659829447,-0.54936997954251,0.706761827792789,NA,-12.1913410205232,7.04272257397832,-252.958752301312,-93.5838680373538,-128.134357132694,-31.2405271312649,-5.69798842608725,-258.656740727401
1993,"Ex-California",226693000,1589636,20430,94248,NA,533434,941524,10539893,2420626,6875502,1243765,1495388,12035281,701.228533743874,9.01218828988985,41.5751699434919,NA,235.311191788013,415.329983722479,4649.41264176662,1067.79918215384,3032.95734760226,548.656112010516,659.653363800382,5309.066005567,-6.42130078920616,0.163945093657679,-1.37531486120366,NA,-6.23527721035481,1.02534618869464,-162.855994446999,-70.5744252034187,-65.272468555514,-27.009100688066,-5.04598592800255,-167.901980375001
1994,"Ex-California",228910000,1539275,19623,91232,NA,506789,921631,10509771,2328517,6950172,1231082,1448043,11957814,672.436765541042,8.57236468481062,39.8549648333406,NA,221.392250229348,402.617185793543,4591.22406185837,1017.21943121751,3036.20287449216,537.801756148705,632.581800707702,5223.80586256607,-28.7917682028316,-0.439823605079226,-1.72020511015124,NA,-13.9189415586651,-12.712797928936,-58.1885799082456,-50.579750936329,3.24552688989479,-10.8543558618118,-27.0715630926802,-85.2601430009263
