"year","state","population","violent.crime.total","murder.and.nonnegligent.manslaughter.total","legacy.rape.total","revised.rape.total","robbery.total","aggravated.assault.total","property.crime.total","burglary.total","larceny.theft.total","motor.vehicle.theft.total","violent.nr.crime.total","aggregate.crime.total","violent.crime.rate","murder.and.nonnegligent.manslaughter.rate","legacy.rape.rate","revised.rape.rate","robbery.rate","aggravated.assault.rate","property.crime.rate","burglary.rate","larceny.theft.rate","motor.vehicle.theft.rate","violent.nr.crime.rate","aggregate.crime.rate","violent.crime.rate.chg","murder.and.nonnegligent.manslaughter.rate.chg","legacy.rape.rate.chg","revised.rape.rate.chg","robbery.rate.chg","aggravated.assault.rate.chg","property.crime.rate.chg","burglary.rate.chg","larceny.theft.rate.chg","motor.vehicle.theft.rate.chg","violent.nr.crime.rate.chg","aggregate.crime.rate.chg"
1985,"Alabama",4021000,18398,396,1079,NA,4237,12686,140115,41612,88108,10395,17319,157434,457.547873663268,9.84829644367073,26.8341208654564,NA,105.371798060184,315.493658293957,3484.58095001244,1034.86694852027,2191.19621984581,258.517781646357,430.713752797812,3915.29470281025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,"Alabama",4053000,22616,409,1150,NA,4523,16534,151191,46974,93396,10821,21466,172657,558.006415001234,10.0912904021712,28.3740439180854,NA,111.596348383913,407.944732297064,3730.34789045152,1158.99333826795,2304.36713545522,266.987416728349,529.632371083148,4259.98026153467,100.458541337966,0.242993958500501,1.53992305262901,NA,6.2245503237291,92.4510740031071,245.766940439082,124.126389747681,113.170915609409,8.46963508199269,98.9186182853367,344.685558724419
1987,"Alabama",4083000,22833,380,1137,NA,4581,16735,158918,48927,99260,10731,21696,180614,559.221160911095,9.30688219446485,27.8471711976488,NA,112.196914033799,409.870193485182,3892.1871173157,1198.31006612785,2431.05559637521,262.821454812638,531.373989713446,4423.56110702915,1.21474590986111,-0.784408207706376,-0.526872720436579,NA,0.60056564988551,1.92546118811862,161.839226864182,39.3167278598976,126.688460919996,-4.16596191571153,1.74161863029781,163.58084549448
1988,"Alabama",4127000,23052,408,1228,NA,4860,16556,165209,50920,103282,11007,21824,187033,558.565543978677,9.88611582263145,29.7552701720378,NA,117.761085534286,401.163072449721,4003.12575720863,1233.82602374606,2502.59268233584,266.707051126726,528.810273806639,4531.93603101527,-0.655616932417843,0.579233628166596,1.90809897438901,NA,5.56417150048773,-8.70712103546111,110.938639892927,35.5159576182155,71.5370859606232,3.88559631408862,-2.56371590680681,108.374923986121
1989,"Alabama",4118000,24329,421,1276,NA,5515,17117,166244,47224,106771,12249,23053,189297,590.796503156872,10.2234094220495,30.9859154929577,NA,133.924235065566,415.662943176299,4037.00825643516,1146.77027683341,2592.78776104905,297.450218552696,559.810587663914,4596.81884409908,32.2309591781953,0.337293599418087,1.23064532091995,NA,16.1631495312794,14.4998707265778,33.8824992265368,-87.0557469126484,90.1950787132155,30.7431674259691,31.0003138572753,64.882813083811
1990,"Alabama",4040587,28630,467,1319,NA,5805,21039,169974,44585,111336,14053,27311,197285,708.560414613025,11.5577266372435,32.6437718084031,NA,143.667244388006,520.691671779373,4206.66601164633,1103.42878398609,2755.44122673265,347.796000927588,675.916642804622,4882.58265445095,117.763911456153,1.33431721519401,1.65785631544534,NA,9.74300932244017,105.028728603073,169.657755211164,-43.3414928473251,162.653465683598,50.3457823748925,116.106055140708,285.763810351873
1991,"Alabama",4089000,34518,469,1455,NA,6246,26348,184882,51873,118151,14858,33063,217945,844.167278063096,11.4697970163854,35.5832721936904,NA,152.751283932502,644.362924920518,4521.44778674492,1268.59867938371,2889.48398141355,363.365125947664,808.584005869406,5330.03179261433,135.606863450071,-0.0879296208581248,2.9395003852873,NA,9.08403954449582,123.671253141146,314.781775098598,165.169895397623,134.042754680898,15.5691250200765,132.667363064783,447.449138163382
1992,"Alabama",4136000,36052,455,1704,NA,6819,27074,181837,49053,117801,14983,34348,216185,871.663442940039,11.0009671179884,41.1992263056093,NA,164.869439071567,654.593810444874,4396.44584139265,1186.00096711799,2848.18665377176,362.258220502901,830.464216634429,5226.91005802708,27.4961648769425,-0.468829898397029,5.61595411191889,NA,12.1181551390649,10.2308855243558,-125.001945352275,-82.5977122657239,-41.2973276417883,-1.10690544476313,21.8802107650237,-103.121734587252
1993,"Alabama",4187000,32676,484,1471,NA,6677,24044,171598,45578,111878,14142,31205,202803,780.415572008598,11.5595892046812,35.1325531406735,NA,159.469787437306,574.253642225937,4098.35204203487,1088.55982803917,2672.03248149033,337.759732505374,745.283018867925,4843.63506090279,-91.2478709314407,0.558622086692761,-6.06667316493576,NA,-5.39965163426081,-80.3401682189368,-298.093799357781,-97.4411390788196,-176.154172281433,-24.4984879975275,-85.1811977665049,-383.274997124286
1994,"Alabama",4219000,28844,501,1487,NA,7223,19633,178015,44064,119951,14000,27357,205372,683.669115904243,11.8748518606305,35.2453187959232,NA,171.201706565537,465.347238682152,4219.3647783835,1044.41810855653,2843.11448210476,331.832187722209,648.423797108319,4867.78857549182,-96.7464561043553,0.315262655949326,0.112765655249689,NA,11.7319191282309,-108.906403543785,121.012736348634,-44.141719482639,171.082000614437,-5.92754478316476,-96.859221759605,24.1535145890284
1995,"Alabama",4253000,26894,475,1350,NA,7900,17169,179294,43586,120967,14741,25544,204838,632.353632729838,11.1685868798495,31.7422995532565,NA,185.75123442276,403.691511873971,4215.70656007524,1024.82953209499,2844.27462967317,346.602398307077,600.611333176581,4816.31789325182,-51.3154831744049,-0.706264980780963,-3.50301924266668,NA,14.5495278572236,-61.6557268081808,-3.6582183082628,-19.5885764615382,1.16014756840787,14.7702105848683,-47.8124639317383,-51.4706822400003
1996,"Alabama",4273000,24159,444,1397,NA,7124,15194,181803,42821,123350,15632,22762,204565,565.387315703253,10.3908261174819,32.6936578516265,NA,166.721273110227,355.581558623918,4254.69225368593,1002.12965129885,2886.73063421484,365.831968172244,532.693657851627,4787.38591153756,-66.9663170265849,-0.777760762367656,0.951358298369968,NA,-19.0299613125334,-48.1099532500537,38.9856936106944,-22.6998807961385,42.4560045416656,19.229569865167,-67.9176753249546,-28.9319817142605
1997,"Alabama",4319000,24379,426,1396,NA,6931,15626,186809,43786,127616,15407,22983,209792,564.459365593887,9.86339430423709,32.3222968279694,NA,160.476962259782,361.796712201899,4325.28363047002,1013.79949062283,2954.75804584395,356.726094003241,532.137068765918,4857.42069923593,-0.927950109365497,-0.527431813244771,-0.371361023657052,NA,-6.24431085044463,6.21515357798097,70.5913767840821,11.669839323976,68.0274116291075,-9.10587416900285,-0.556589085708538,70.0347876983724
1998,"Alabama",4352000,22286,354,1443,NA,5698,14791,177779,41965,120943,14871,20843,198622,512.086397058824,8.13419117647059,33.1571691176471,NA,130.928308823529,339.866727941176,4084.99540441176,964.269301470588,2779.02113970588,341.704963235294,478.929227941177,4563.92463235294,-52.3729685350639,-1.7292031277665,0.83487228967762,NA,-29.5486534362529,-21.9299842607221,-240.288226058252,-49.530189152241,-175.736906138063,-15.0211307679474,-53.2078408247415,-293.496066882993
1999,"Alabama",4369862,21421,345,1513,NA,5297,14266,171398,38648,119616,13134,19908,191306,490.19854631565,7.8949861574576,34.6235190035749,NA,121.216642539284,326.463398615334,3922.27489106063,884.421521778033,2737.29467887087,300.558690411734,455.575027312075,4377.84991837271,-21.8878507431733,-0.239205019012985,1.46634988592788,NA,-9.71166628424557,-13.4033293258426,-162.720513351132,-79.847779692555,-41.726460835016,-41.1462728235603,-23.3542006291012,-186.074713980233
2000,"Alabama",4447100,21620,329,1482,NA,5702,14107,180539,40331,127399,12809,20138,200677,486.159519686987,7.39807964741067,33.3250882597648,NA,128.218389512266,317.217962267545,4059.70182815768,906.905623889726,2864.76580243305,288.030401834904,452.834431427222,4512.5362595849,-4.03902662866324,-0.496906510046931,-1.29843074381015,NA,7.00174697298256,-9.24543634778871,137.426937097043,22.4841021116926,127.47112356218,-12.5282885768301,-2.74059588485312,134.68634121219
2001,"Alabama",4468912,19582,379,1369,NA,5584,12250,173253,40642,119992,12619,18213,191466,438.182716509074,8.4808114368777,30.6338545041836,NA,124.952113624077,274.115936943936,3876.84966721206,909.438359940854,2685.03832700219,282.372980269023,407.548862004891,4284.39852921695,-47.9768031779127,1.08273178946703,-2.69123375558122,NA,-3.26627588818968,-43.1020253236089,-182.852160945612,2.53273605112781,-179.727475430859,-5.65742156588067,-45.2855694223315,-228.137730367944
2002,"Alabama",4478896,19931,303,1664,NA,5962,12002,180400,42578,123932,13890,18267,198667,444.998053091655,6.76505996120473,37.1520124602134,NA,133.113160028721,267.967820641515,4027.77827393179,950.636049597937,2767.02115878556,310.121065548296,407.846040631441,4435.62431456323,6.81533658258041,-1.71575147567297,6.51815795602984,NA,8.16104640464462,-6.14811630242099,150.928606719726,41.1976896570831,81.9828317833703,27.7480852792729,0.297178626550647,151.225785346277
2003,"Alabama",4503726,19331,299,1656,NA,6038,11338,182241,43245,124039,14957,17675,199916,429.222381645775,6.63894739600056,36.7695548086185,NA,134.066770491811,251.747108949346,4046.44953978106,960.204950301151,2754.14179281777,332.102796662141,392.452826837157,4438.90236661822,-15.7756714458796,-0.12611256520417,-0.38245765159494,NA,0.953610463089205,-16.2207116921697,18.6712658492711,9.56890070321401,-12.879365967789,21.9817311138456,-15.3932137942847,3.27805205498589
2004,"Alabama",4525375,19324,254,1742,NA,6042,11286,182340,44666,123650,14024,17582,199922,427.014335828523,5.61279451979118,38.4940474546308,NA,133.513797199127,249.393696654973,4029.27934149104,987.0121260669,2732.37024555976,309.896969864376,388.520288373892,4417.79962986493,-2.20804581725258,-1.02615287620938,1.72449264601237,NA,-0.552973292683419,-2.35341229437216,-17.1701982900254,26.8071757657498,-21.7715472580085,-22.2058267977656,-3.93253846326496,-21.1027367532888
