"year","state","population","violent.crime.total","murder.and.nonnegligent.manslaughter.total","legacy.rape.total","revised.rape.total","robbery.total","aggravated.assault.total","property.crime.total","burglary.total","larceny.theft.total","motor.vehicle.theft.total","violent.nr.crime.total","aggregate.crime.total","violent.crime.rate","murder.and.nonnegligent.manslaughter.rate","legacy.rape.rate","revised.rape.rate","robbery.rate","aggravated.assault.rate","property.crime.rate","burglary.rate","larceny.theft.rate","motor.vehicle.theft.rate","violent.nr.crime.rate","aggregate.crime.rate","violent.crime.rate.chg","murder.and.nonnegligent.manslaughter.rate.chg","legacy.rape.rate.chg","revised.rape.rate.chg","robbery.rate.chg","aggravated.assault.rate.chg","property.crime.rate.chg","burglary.rate.chg","larceny.theft.rate.chg","motor.vehicle.theft.rate.chg","violent.nr.crime.rate.chg","aggregate.crime.rate.chg"
1985,"All",238739000,1328757,18976,88669,NA,497868,723244,11102550,3073345,6926343,1102862,1240088,12342638,556.573077712481,7.94842903756822,37.1405593556143,NA,208.540707634697,302.943381684601,4650.49698624858,1287.32423273952,2901.21974206141,461.953011447648,519.432518356867,5169.92950460545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,"All",241058000,1489169,20613,91459,NA,542775,834322,11722700,3241410,7257153,1224137,1397710,13120410,617.763774693227,8.55105410316189,37.9406615835193,NA,225.163653560554,346.108405445992,4863.02051788366,1344.65979141949,3010.54227613271,507.818450331456,579.823113109708,5442.84363099337,61.1906969807463,0.602625065593672,0.800102227905036,NA,16.6229459258566,43.1650237613911,212.523531635082,57.3355586799735,109.322534071301,45.8654388838077,60.3905947528414,272.914126387923
1987,"All",243399000,1483999,20096,91111,NA,517704,855088,12024709,3236184,7499851,1288674,1392888,13417597,609.698067781708,8.25640203944963,37.4327749908586,NA,212.697669259118,351.311221492282,4940.32802106829,1329.57982571827,3081.29901930575,529.449176044273,572.26529279085,5512.59331385914,-8.0657069115191,-0.294652063712267,-0.507886592660689,NA,-12.4659843014362,5.20281604629002,77.3075031846238,-15.0799657012274,70.756743173034,21.6307257128175,-7.55782031885849,69.7496828657668
1988,"All",245810000,1566221,20675,92486,NA,542968,910092,12356865,3218077,7705872,1432916,1473735,13830600,637.16732435621,8.4109678206745,37.6249949147716,NA,220.889304747569,370.242056873195,5026.99849477239,1309.17253163012,3134.88954883853,582.936414303731,599.542329441438,5626.54082421382,27.4692565745019,0.154565781224877,0.192219923912937,NA,8.19163548845151,18.9308353809125,86.6704737040982,-20.4072940881442,53.5905295327852,53.4872382594575,27.2770366505889,113.947510354687
1989,"All",248243000,1646037,21500,94504,NA,578326,951707,12605412,3168170,7872442,1564800,1551533,14156945,663.074890329234,8.66086858441124,38.0691499861023,NA,232.967696974336,383.377174784385,5077.85194345863,1276.23739642205,3171.26444653021,630.350100506359,625.005740343131,5702.85768380176,25.9075659730237,0.249900763736738,0.444155071330762,NA,12.0783922267664,13.1351179111899,50.8534486862418,-32.9351352080666,36.37489769168,47.4136862026281,25.463410901693,76.3168595879351
1990,"All",248709873,1820127,23438,102555,NA,639271,1054863,12655486,3073909,7945670,1635907,1717572,14373058,731.827401158297,9.42383175918392,41.2347924764531,NA,257.034830298032,424.133946624628,5088.45340450156,1235.94168696311,3194.75455644658,657.757161091872,690.592608681843,5779.0460131834,68.7525108290629,0.762963174772681,3.16564249035075,NA,24.067133323696,40.7567718402433,10.6014610429311,-40.2957094589476,23.4901099163644,27.4070605855132,65.586868338712,76.1883293816418
1991,"All",252181000,1911767,24703,106593,NA,687732,1092739,12961116,3157150,8142228,1661738,1805174,14766290,758.093194967107,9.79574194725217,42.268450041835,NA,272.713646150979,433.315356827041,5139.60845583133,1251.93809208465,3228.72381345145,658.946550295224,715.824744925272,5855.4332007566,26.2657938088103,0.37191018806825,1.03365756538195,NA,15.6788158529472,9.18141020241296,51.1550513297689,15.9964051215468,33.9692570048705,1.18938920335256,25.2321362434285,76.3871875731993
1992,"All",255081000,1932274,23760,109062,NA,672478,1126974,12505917,2979884,7915199,1610834,1823212,14329129,757.513887745461,9.31468827548896,42.7558305008997,NA,263.633120459776,441.810248509297,4902.72384066238,1168.21088203355,3103.01394459015,631.499014038678,714.758057244562,5617.48189790694,-0.579307221645649,-0.481053671763211,0.487380459064681,NA,-9.08052569120326,8.49489168225608,-236.884615168949,-83.7272100511032,-125.709868861299,-27.4475362565466,-1.0666876807104,-237.95130284966
1993,"All",257904000,1926017,24526,106014,NA,659870,1135607,12218777,2834808,7820909,1563060,1820003,14038780,746.796094670885,9.50974005831627,41.105992927601,NA,255.858769154414,440.321592530554,4737.72295117563,1099.17178485018,3032.48844531298,606.06272101247,705.690101743284,5443.41305291892,-10.717793074576,0.19505178282731,-1.64983757329875,NA,-7.77435130536153,-1.48865597874305,-165.000889486746,-69.0390971833733,-70.5254992771652,-25.4362930262081,-9.0679555012772,-174.068844988024
1994,"All",260341000,1857670,23326,102216,NA,618949,1113179,12131873,2712774,7879812,1539287,1755454,13887327,713.552609846317,8.95978735581411,39.2623520690172,NA,237.745495331123,427.584975090362,4659.99323963571,1042.0079818392,3026.72725387088,591.258003925621,674.2902577773,5334.28349741301,-33.2434848245683,-0.549952702502166,-1.84364085858379,NA,-18.1132738232906,-12.7366174401918,-77.7297115399233,-57.1638030109737,-5.76119144210043,-14.8047170868491,-31.3998439659846,-109.129555505907
