"county","year","total.pop","property.sum","violent.nr.sum","totalcrime.sum","st.le.sum","cnty.le.sum","prosecution.sum","publicdefense.sum","probationdept.sum","st.le.sum_per.crime","cnty.le.sum_per.crime","prosecution.sum_per.crime","publicdefense.sum_per.crime","probationdept.sum_per.crime"
"Alameda",2003,1454163,67045,9580,76625,4737,4737,373,193,930,618.205546492659,618.205546492659,48.6786296900489,25.1876019575856,121.37030995106
"Alameda",2004,1445721,65798,8642,74440,4505,4505,349,188,518,605.185384202042,605.185384202042,46.8833960236432,25.2552391187534,69.586243954863
"Alameda",2005,1441545,63034,9207,72241,4490,4490,340,187,592,621.530709707784,621.530709707784,47.0646862584959,25.8855774421727,81.9479243089104
"Alameda",2006,1444484,65868,11901,77769,4530,4530,339,179,584,582.494310072137,582.494310072137,43.5906338001003,23.0168833339763,75.0941892013527
"Alameda",2007,1455715,62731,12008,74739,4649,4649,335,182,604,622.031335714955,622.031335714955,44.822649486881,24.3514095719772,80.814568030078
"Alameda",2008,1477208,59435,12188,71623,4662,4662,344,179,635,650.908227803918,650.908227803918,48.0292643424598,24.9919718526172,88.6586710972732
"Alameda",2009,1498539,56348,10636,66984,4599,4599,350,NA,626,686.581870297384,686.581870297384,52.2512838886898,NA,93.4551534694853
"Alameda",2010,1510271,50323,9944,60267,4425,4425,343,161,581,734.232664642342,734.232664642342,56.9134020276437,26.7144540129756,96.404334046825
"Alameda",2011,1532215,52659,10372,63031,4328,4328,351,161,558,686.646253430852,686.646253430852,55.6868842315686,25.5429867842807,88.5278672399295
"Alameda",2012,1556648,62130,11422,73552,4285,4285,341,162,546,582.581031107244,582.581031107244,46.3617576680444,22.0252338481618,74.2331955623232
"Alameda",2013,1582936,60133,11377,71510,4315,4315,343,162,543,603.412110194378,603.412110194378,47.9653195357293,22.6541742413648,75.9334358830933
"Alameda",2014,1611572,57620,9933,67553,4451,4451,343,163,552,658.890056696224,658.890056696224,50.7749470785901,24.1292022560064,81.7136174559235
"Alameda",2015,1637141,60009,9111,69120,4447,4447,343,161,557,643.373842592593,643.373842592593,49.6238425925926,23.2928240740741,80.5844907407407
"Alameda",2016,1653236,59744,9499,69243,4476,4476,390,170,534,646.419132619904,646.419132619904,56.3233828690265,24.5512181736782,77.1197088514362
"Alameda",2017,1663190,63861,9113,72974,4458,4458,415,186,534,610.902513223888,610.902513223888,56.8695699838299,25.4885301614274,73.1767478828076
"Alpine",2003,1233,102,3,105,14,14,2,NA,2,1333.33333333333,1333.33333333333,190.47619047619,NA,190.47619047619
"Alpine",2004,1263,82,8,90,17,17,2,NA,3,1888.88888888889,1888.88888888889,222.222222222222,NA,333.333333333333
"Alpine",2005,1219,97,7,104,15,15,2,NA,2,1442.30769230769,1442.30769230769,192.307692307692,NA,192.307692307692
"Alpine",2006,1276,88,11,99,16,16,3,NA,2,1616.16161616162,1616.16161616162,303.030303030303,NA,202.020202020202
"Alpine",2007,1274,74,14,88,20,20,3,NA,2,2272.72727272727,2272.72727272727,340.909090909091,NA,227.272727272727
"Alpine",2008,1202,73,12,85,18,18,3,NA,2,2117.64705882353,2117.64705882353,352.941176470588,NA,235.294117647059
"Alpine",2009,1197,62,12,74,14,14,3,NA,2,1891.89189189189,1891.89189189189,405.405405405405,NA,270.27027027027
"Alpine",2010,1175,77,7,84,18,18,3,NA,1,2142.85714285714,2142.85714285714,357.142857142857,NA,119.047619047619
"Alpine",2011,1093,105,7,112,18,18,3,NA,0,1607.14285714286,1607.14285714286,267.857142857143,NA,0
"Alpine",2012,1110,43,5,48,17,17,2,NA,0,3541.66666666667,3541.66666666667,416.666666666667,NA,0
"Alpine",2013,1127,33,6,39,18,18,2,0,0,4615.38461538462,4615.38461538462,512.820512820513,0,0
"Alpine",2014,1084,24,3,27,14,14,3,0,0,5185.18518518519,5185.18518518519,1111.11111111111,0,0
"Alpine",2015,1088,35,9,44,16,16,3,0,1,3636.36363636364,3636.36363636364,681.818181818182,0,227.272727272727
"Alpine",2016,1057,34,6,40,17,17,2,0,1,4250,4250,500,0,250
"Alpine",2017,1120,32,13,45,17,17,1,0,1,3777.77777777778,3777.77777777778,222.222222222222,0,222.222222222222
"Amador",2003,36994,929,86,1015,116,116,28,NA,16,1142.85714285714,1142.85714285714,275.862068965517,NA,157.635467980296
"Amador",2004,37400,1148,102,1250,109,109,34,NA,21,872,872,272,NA,168
"Amador",2005,38040,1011,119,1130,109,109,31,NA,17,964.601769911504,964.601769911504,274.336283185841,NA,150.442477876106
"Amador",2006,38353,844,102,946,118,118,34,NA,18,1247.35729386892,1247.35729386892,359.408033826638,NA,190.274841437632
"Amador",2007,38756,831,131,962,114,114,28,NA,20,1185.03118503119,1185.03118503119,291.060291060291,NA,207.900207900208
"Amador",2008,38248,1059,108,1167,116,116,26,NA,20,994.001713796058,994.001713796058,222.793487574979,NA,171.379605826907
"Amador",2009,38238,856,97,953,118,118,25,NA,15,1238.19517313746,1238.19517313746,262.329485834208,NA,157.397691500525
"Amador",2010,38091,840,98,938,111,111,24,NA,15,1183.36886993603,1183.36886993603,255.863539445629,NA,159.914712153518
"Amador",2011,37539,972,90,1062,117,117,24,NA,15,1101.69491525424,1101.69491525424,225.988700564972,NA,141.242937853107
"Amador",2012,37112,797,125,922,105,105,23,NA,19,1138.82863340564,1138.82863340564,249.457700650759,NA,206.073752711497
"Amador",2013,36635,798,93,891,106,106,22,0,19,1189.67452300786,1189.67452300786,246.913580246914,0,213.24354657688
"Amador",2014,36748,629,76,705,115,115,23,0,18,1631.20567375887,1631.20567375887,326.241134751773,0,255.31914893617
"Amador",2015,37047,602,79,681,120,120,22,0,18,1762.11453744493,1762.11453744493,323.054331864905,0,264.31718061674
"Amador",2016,37473,669,84,753,107,107,23,0,17,1420.98273572377,1420.98273572377,305.444887118194,0,225.763612217795
"Amador",2017,38626,649,106,755,105,105,22,0,20,1390.72847682119,1390.72847682119,291.390728476821,0,264.900662251656
"Butte",2003,211481,7741,596,8337,508,508,107,NA,102,609.331893966655,609.331893966655,128.343528847307,NA,122.346167686218
"Butte",2004,213065,8265,660,8925,503,503,95,NA,142,563.585434173669,563.585434173669,106.442577030812,NA,159.103641456583
"Butte",2005,214752,7335,654,7989,496,496,92,NA,150,620.853673801477,620.853673801477,115.158342721242,NA,187.758167480285
"Butte",2006,216824,7107,674,7781,551,551,91,NA,150,708.13520113096,708.13520113096,116.951548644133,NA,192.777277984835
"Butte",2007,217469,6666,850,7516,555,555,86,NA,152,738.424693986163,738.424693986163,114.422565194252,NA,202.23523150612
"Butte",2008,219034,6663,744,7407,551,551,87,NA,143,743.89091400027,743.89091400027,117.456460105306,NA,193.060618334008
"Butte",2009,219777,6338,845,7183,525,525,90,NA,140,730.892384797438,730.892384797438,125.295837393847,NA,194.904635945984
"Butte",2010,220000,5940,670,6610,521,521,84,NA,139,788.199697428139,788.199697428139,127.080181543116,NA,210.287443267776
"Butte",2011,220003,5375,501,5876,554,554,84,NA,146,942.818243703199,942.818243703199,142.954390742001,NA,248.468345813479
"Butte",2012,220969,5659,609,6268,558,558,95,NA,154,890.236119974473,890.236119974473,151.563497128271,NA,245.692405871091
"Butte",2013,221768,6223,555,6778,544,544,93,0,155,802.596636175863,802.596636175863,137.208616110947,0,228.681026851579
"Butte",2014,223629,6631,602,7233,528,528,91,0,159,729.987557030278,729.987557030278,125.812249412415,0,219.82579842389
"Butte",2015,224818,7543,660,8203,542,542,96,0,161,660.733877849567,660.733877849567,117.030354748263,0,196.269657442399
"Butte",2016,226525,7307,657,7964,529,529,92,0,164,664.239075841286,664.239075841286,115.519839276745,0,205.926670015068
"Butte",2017,229294,7280,739,8019,511,511,98,0,167,637.236563162489,637.236563162489,122.209751839381,0,208.255393440579
