"city","county","year","TOTAL_POP"
"Alameda","Alameda County",1980,64200
"Alameda","Alameda County",1981,64400
"Alameda","Alameda County",1982,66200
"Alameda","Alameda County",1983,70100
"Alameda","Alameda County",1984,68000
"Alameda","Alameda County",1985,71300
"Alameda","Alameda County",1986,69400
"Alameda","Alameda County",1987,74400
"Alameda","Alameda County",1988,75500
"Alameda","Alameda County",1989,72500
"Alameda","Alameda County",1990,74577
"Alameda","Alameda County",1991,76890
"Alameda","Alameda County",1992,77142
"Alameda","Alameda County",1993,78515
"Alameda","Alameda County",1994,77261
"Alameda","Alameda County",1995,77196
"Alameda","Alameda County",1996,75277
"Alameda","Alameda County",1997,71230
"Alameda","Alameda County",1998,71624
"Alameda","Alameda County",1999,72259
"Alameda","Alameda County",2000,72529
"Alameda","Alameda County",2001,72749
"Alameda","Alameda County",2002,72612
"Alameda","Alameda County",2003,71980
"Alameda","Alameda County",2004,71727
"Alameda","Alameda County",2005,71558
"Alameda","Alameda County",2006,72031
"Alameda","Alameda County",2007,72598
"Alameda","Alameda County",2008,73166
"Alameda","Alameda County",2009,73812
"Alameda","Alameda County",2010,74100
"Alameda","Alameda County",2011,74728
"Alameda","Alameda County",2012,75460
"Alameda","Alameda County",2013,76058
"Alameda","Alameda County",2014,76489
"Alameda","Alameda County",2015,77969
"Alameda","Alameda County",2016,78575
"Alameda","Alameda County",2017,78863
"Albany","Alameda County",1980,15100
"Albany","Alameda County",1981,15150
"Albany","Alameda County",1982,15350
"Albany","Alameda County",1983,15400
"Albany","Alameda County",1984,15300
"Albany","Alameda County",1985,15250
"Albany","Alameda County",1986,15250
"Albany","Alameda County",1987,15400
"Albany","Alameda County",1988,16350
"Albany","Alameda County",1989,16350
"Albany","Alameda County",1990,16273
"Albany","Alameda County",1991,16382
"Albany","Alameda County",1992,16742
"Albany","Alameda County",1993,16679
"Albany","Alameda County",1994,16343
"Albany","Alameda County",1995,16211
"Albany","Alameda County",1996,16307
"Albany","Alameda County",1997,16468
"Albany","Alameda County",1998,16440
"Albany","Alameda County",1999,16444
"Albany","Alameda County",2000,16692
"Albany","Alameda County",2001,16924
"Albany","Alameda County",2002,17096
"Albany","Alameda County",2003,17233
"Albany","Alameda County",2004,16889
"Albany","Alameda County",2005,17015
"Albany","Alameda County",2006,17332
"Albany","Alameda County",2007,17298
"Albany","Alameda County",2008,18196
"Albany","Alameda County",2009,18539
"Albany","Alameda County",2010,18354
"Albany","Alameda County",2011,18503
"Albany","Alameda County",2012,18497
"Albany","Alameda County",2013,18482
"Albany","Alameda County",2014,18540
"Albany","Alameda County",2015,18561
"Albany","Alameda County",2016,18646
"Albany","Alameda County",2017,19053
"Berkeley","Alameda County",1980,103300
"Berkeley","Alameda County",1981,104700
"Berkeley","Alameda County",1982,105500
"Berkeley","Alameda County",1983,104600
"Berkeley","Alameda County",1984,105500
"Berkeley","Alameda County",1985,104500
"Berkeley","Alameda County",1986,104300
"Berkeley","Alameda County",1987,103700
"Berkeley","Alameda County",1988,103600
"Berkeley","Alameda County",1989,103000
"Berkeley","Alameda County",1990,102098
"Berkeley","Alameda County",1991,102616
"Berkeley","Alameda County",1992,101980
"Berkeley","Alameda County",1993,101252
"Berkeley","Alameda County",1994,100943
"Berkeley","Alameda County",1995,100148
"Berkeley","Alameda County",1996,100904
"Berkeley","Alameda County",1997,101893
"Berkeley","Alameda County",1998,102268
"Berkeley","Alameda County",1999,102743
"Berkeley","Alameda County",2000,103695
"Berkeley","Alameda County",2001,104793
"Berkeley","Alameda County",2002,105139
"Berkeley","Alameda County",2003,105611
"Berkeley","Alameda County",2004,105880
"Berkeley","Alameda County",2005,107398
"Berkeley","Alameda County",2006,108721
"Berkeley","Alameda County",2007,109762
"Berkeley","Alameda County",2008,110982
"Berkeley","Alameda County",2009,112580
"Berkeley","Alameda County",2010,114002
"Berkeley","Alameda County",2011,114966
"Berkeley","Alameda County",2012,116206
"Berkeley","Alameda County",2013,117498
"Berkeley","Alameda County",2014,118543
"Berkeley","Alameda County",2015,119435
"Berkeley","Alameda County",2016,120700
"Berkeley","Alameda County",2017,121874
"Dublin","Alameda County",1980,NA
"Dublin","Alameda County",1981,NA
"Dublin","Alameda County",1982,14350
"Dublin","Alameda County",1983,14500
"Dublin","Alameda County",1984,14150
"Dublin","Alameda County",1985,16150
"Dublin","Alameda County",1986,19200
"Dublin","Alameda County",1987,20050
"Dublin","Alameda County",1988,21400
"Dublin","Alameda County",1989,23450
"Dublin","Alameda County",1990,23099
"Dublin","Alameda County",1991,24384
"Dublin","Alameda County",1992,24493
"Dublin","Alameda County",1993,24501
"Dublin","Alameda County",1994,24277
"Dublin","Alameda County",1995,23829
"Dublin","Alameda County",1996,23928
"Dublin","Alameda County",1997,24506
"Dublin","Alameda County",1998,25045
"Dublin","Alameda County",1999,30023
"Dublin","Alameda County",2000,32437
"Dublin","Alameda County",2001,33514
"Dublin","Alameda County",2002,35229
"Dublin","Alameda County",2003,36991
"Dublin","Alameda County",2004,38147
"Dublin","Alameda County",2005,39868
"Dublin","Alameda County",2006,41309
"Dublin","Alameda County",2007,44321
"Dublin","Alameda County",2008,45104
"Dublin","Alameda County",2009,46036
"Dublin","Alameda County",2010,46418
"Dublin","Alameda County",2011,47267
"Dublin","Alameda County",2012,50620
"Dublin","Alameda County",2013,54136
"Dublin","Alameda County",2014,56693
"Dublin","Alameda County",2015,58142
"Dublin","Alameda County",2016,60487
"Dublin","Alameda County",2017,63241
"Emeryville","Alameda County",1980,3900
"Emeryville","Alameda County",1981,3880
"Emeryville","Alameda County",1982,3890
"Emeryville","Alameda County",1983,3950
"Emeryville","Alameda County",1984,4190
"Emeryville","Alameda County",1985,4650
"Emeryville","Alameda County",1986,4650
"Emeryville","Alameda County",1987,4930
"Emeryville","Alameda County",1988,5075
"Emeryville","Alameda County",1989,5750
"Emeryville","Alameda County",1990,5815
"Emeryville","Alameda County",1991,5917
"Emeryville","Alameda County",1992,6007
"Emeryville","Alameda County",1993,6190
"Emeryville","Alameda County",1994,6157
"Emeryville","Alameda County",1995,6147
"Emeryville","Alameda County",1996,6196
"Emeryville","Alameda County",1997,6632
"Emeryville","Alameda County",1998,6824
"Emeryville","Alameda County",1999,6882
"Emeryville","Alameda County",2000,7186
"Emeryville","Alameda County",2001,7181
"Emeryville","Alameda County",2002,7376
"Emeryville","Alameda County",2003,7483
"Emeryville","Alameda County",2004,7998
"Emeryville","Alameda County",2005,8248
"Emeryville","Alameda County",2006,8818
"Emeryville","Alameda County",2007,9362
"Emeryville","Alameda County",2008,9702
"Emeryville","Alameda County",2009,10080
"Emeryville","Alameda County",2010,10235
"Emeryville","Alameda County",2011,10484
"Emeryville","Alameda County",2012,10626
"Emeryville","Alameda County",2013,10854
"Emeryville","Alameda County",2014,11057
"Emeryville","Alameda County",2015,11866
"Emeryville","Alameda County",2016,11995
"Emeryville","Alameda County",2017,11994
"Fremont","Alameda County",1980,135300
"Fremont","Alameda County",1981,137900
"Fremont","Alameda County",1982,140000
"Fremont","Alameda County",1983,143000
"Fremont","Alameda County",1984,146600
"Fremont","Alameda County",1985,152300
"Fremont","Alameda County",1986,157100
"Fremont","Alameda County",1987,164000
"Fremont","Alameda County",1988,168700
"Fremont","Alameda County",1989,172700
"Fremont","Alameda County",1990,173749
"Fremont","Alameda County",1991,175976
"Fremont","Alameda County",1992,179760
"Fremont","Alameda County",1993,180500
"Fremont","Alameda County",1994,181819
"Fremont","Alameda County",1995,183838
"Fremont","Alameda County",1996,187891
"Fremont","Alameda County",1997,193557
"Fremont","Alameda County",1998,197708
"Fremont","Alameda County",1999,203413
"Fremont","Alameda County",2000,206040
"Fremont","Alameda County",2001,207639
"Fremont","Alameda County",2002,207481
"Fremont","Alameda County",2003,206694
"Fremont","Alameda County",2004,206712
"Fremont","Alameda County",2005,206454
"Fremont","Alameda County",2006,207358
"Fremont","Alameda County",2007,209257
"Fremont","Alameda County",2008,211506
"Fremont","Alameda County",2009,214089
"Fremont","Alameda County",2010,216433
"Fremont","Alameda County",2011,220032
"Fremont","Alameda County",2012,223290
"Fremont","Alameda County",2013,226869
"Fremont","Alameda County",2014,229582
"Fremont","Alameda County",2015,231647
"Fremont","Alameda County",2016,233893
"Fremont","Alameda County",2017,235439
"Hayward","Alameda County",1980,95400
"Hayward","Alameda County",1981,96800
"Hayward","Alameda County",1982,99500
