REPORT 90 E-4,,,,,,,,,,
Population Estimates for California State and Counties,,,,,,,,,,
"January 1, 1981 to January 1, 1990",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
COUNTY,1-1-81  ,1-1-82  ,1-1-83  ,1-1-84  ,1-1-85  ,1-1-86  ,1-1-87  ,1-1-88  ,1-1-89  ,1-1-90  
,,,,,,,,,,
Alameda," 1,117,800 "," 1,134,000 "," 1,151,800 "," 1,170,400 "," 1,185,500 "," 1,206,900 "," 1,220,600 "," 1,242,300 "," 1,261,200 "," 1,274,700 "
Alpine," 1,090 "," 1,100 "," 1,120 "," 1,080 "," 1,100 "," 1,140 "," 1,130 "," 1,100 "," 1,090 "," 1,100 "
Amador," 19,800 "," 20,250 "," 20,600 "," 21,050 "," 21,800 "," 22,450 "," 23,300 "," 25,750 "," 27,600 "," 29,600 "
Butte," 146,800 "," 150,700 "," 153,800 "," 156,600 "," 159,700 "," 163,000 "," 166,200 "," 170,800 "," 175,200 "," 180,400 "
Calaveras," 21,350 "," 22,250 "," 23,200 "," 23,850 "," 24,650 "," 25,550 "," 26,800 "," 28,200 "," 29,700 "," 31,550 "
,,,,,,,,,,
Colusa," 13,000 "," 13,500 "," 13,900 "," 14,050 "," 14,300 "," 14,700 "," 14,800 "," 15,100 "," 15,600 "," 16,150 "
Contra Costa," 662,900 "," 672,900 "," 684,300 "," 694,100 "," 704,600 "," 718,500 "," 733,400 "," 750,900 "," 772,900 "," 797,600 "
Del Norte," 18,600 "," 18,800 "," 18,800 "," 18,850 "," 18,950 "," 19,300 "," 19,750 "," 20,450 "," 20,600 "," 21,650 "
El Dorado," 87,900 "," 90,900 "," 92,800 "," 94,200 "," 97,200 "," 100,900 "," 105,200 "," 110,800 "," 116,800 "," 123,900 "
Fresno," 523,200 "," 535,500 "," 548,900 "," 563,700 "," 577,300 "," 588,300 "," 601,300 "," 618,400 "," 638,500 "," 661,400 "
,,,,,,,,,,
Glenn," 21,750 "," 22,100 "," 22,450 "," 22,650 "," 22,750 "," 22,950 "," 23,000 "," 23,250 "," 23,850 "," 24,550 "
Humboldt," 109,700 "," 110,200 "," 109,700 "," 109,900 "," 110,500 "," 111,200 "," 112,200 "," 113,800 "," 115,800 "," 118,400 "
Imperial," 93,400 "," 94,800 "," 96,000 "," 96,700 "," 97,800 "," 99,300 "," 100,600 "," 102,500 "," 104,900 "," 108,300 "
Inyo," 17,900 "," 18,150 "," 18,400 "," 18,300 "," 18,100 "," 17,950 "," 17,750 "," 17,800 "," 17,950 "," 18,200 "
Kern," 412,800 "," 426,300 "," 440,400 "," 453,400 "," 466,500 "," 480,600 "," 492,900 "," 504,200 "," 518,300 "," 537,300 "
,,,,,,,,,,
Kings," 75,100 "," 76,800 "," 79,200 "," 81,000 "," 83,200 "," 84,100 "," 84,500 "," 90,100 "," 95,200 "," 100,800 "
Lake," 37,700 "," 39,250 "," 40,850 "," 42,750 "," 44,700 "," 45,950 "," 46,850 "," 47,800 "," 48,700 "," 50,200 "
Lassen," 22,250 "," 23,050 "," 23,650 "," 23,850 "," 24,100 "," 24,650 "," 25,700 "," 26,450 "," 27,050 "," 27,000 "
Los Angeles," 7,554,900 "," 7,689,900 "," 7,846,900 "," 7,985,000 "," 8,121,000 "," 8,286,100 "," 8,452,200 "," 8,585,300 "," 8,706,200 "," 8,832,500 "
Madera," 65,500 "," 68,000 "," 70,000 "," 71,900 "," 73,800 "," 75,500 "," 77,300 "," 79,900 "," 82,200 "," 86,400 "
,,,,,,,,,,
Marin," 222,900 "," 222,800 "," 222,500 "," 222,400 "," 220,500 "," 220,800 "," 221,700 "," 222,100 "," 224,500 "," 229,900 "
Mariposa," 11,300 "," 11,550 "," 11,750 "," 11,950 "," 12,300 "," 12,550 "," 12,800 "," 13,150 "," 13,450 "," 14,050 "
Mendocino," 67,800 "," 69,200 "," 70,300 "," 71,300 "," 72,700 "," 74,000 "," 75,000 "," 76,200 "," 77,600 "," 79,700 "
Merced," 137,600 "," 141,400 "," 145,400 "," 150,200 "," 154,700 "," 158,300 "," 161,200 "," 165,400 "," 170,000 "," 176,300 "
Modoc," 8,825 "," 9,100 "," 9,325 "," 9,475 "," 9,475 "," 9,325 "," 9,200 "," 9,175 "," 9,325 "," 9,600 "
,,,,,,,,,,
Mono," 8,800 "," 9,100 "," 9,250 "," 9,000 "," 8,800 "," 8,800 "," 8,825 "," 8,975 "," 9,200 "," 9,750 "
Monterey," 296,500 "," 303,000 "," 310,900 "," 318,400 "," 324,000 "," 330,600 "," 335,800 "," 340,600 "," 344,100 "," 353,400 "
Napa," 99,600 "," 100,600 "," 101,400 "," 101,800 "," 102,500 "," 103,600 "," 104,600 "," 105,500 "," 107,100 "," 109,900 "
Nevada," 54,200 "," 57,400 "," 59,600 "," 61,300 "," 63,500 "," 65,900 "," 68,500 "," 71,400 "," 74,100 "," 77,500 "
Orange," 1,974,600 "," 2,024,200 "," 2,065,300 "," 2,103,300 "," 2,143,600 "," 2,193,200 "," 2,243,500 "," 2,292,300 "," 2,344,200 "," 2,398,400 "
,,,,,,,,,,
Placer," 120,700 "," 125,000 "," 128,400 "," 132,000 "," 136,500 "," 141,500 "," 147,400 "," 154,000 "," 161,000 "," 170,100 "
Plumas," 17,600 "," 18,000 "," 18,100 "," 18,100 "," 18,350 "," 18,650 "," 18,800 "," 19,150 "," 19,300 "," 19,600 "
Riverside," 683,600 "," 711,800 "," 740,800 "," 774,500 "," 815,100 "," 862,700 "," 919,600 "," 983,800 "," 1,057,200 "," 1,144,400 "
Sacramento," 797,000 "," 819,600 "," 842,500 "," 861,400 "," 880,600 "," 904,800 "," 934,700 "," 967,000 "," 996,500 "," 1,031,500 "
San Benito," 25,500 "," 26,350 "," 27,150 "," 28,050 "," 29,250 "," 30,700 "," 32,050 "," 33,400 "," 34,950 "," 36,400 "
,,,,,,,,,,
San Bernardino," 917,600 "," 949,700 "," 978,900 "," 1,007,900 "," 1,044,500 "," 1,094,400 "," 1,155,400 "," 1,229,300 "," 1,311,100 "," 1,396,600 "
San Diego," 1,902,700 "," 1,940,500 "," 1,982,000 "," 2,033,600 "," 2,080,300 "," 2,148,900 "," 2,223,600 "," 2,300,800 "," 2,388,700 "," 2,480,100 "
San Francisco," 684,000 "," 691,200 "," 699,800 "," 708,700 "," 720,400 "," 732,900 "," 736,700 "," 733,300 "," 727,500 "," 724,000 "
San Joaquin," 356,200 "," 368,300 "," 380,600 "," 393,300 "," 408,600 "," 425,400 "," 441,600 "," 454,800 "," 466,300 "," 477,700 "
San Luis Obispo," 159,200 "," 164,000 "," 168,300 "," 173,500 "," 179,900 "," 187,800 "," 193,900 "," 198,900 "," 205,800 "," 215,000 "
,,,,,,,,,,
San Mateo," 589,600 "," 592,900 "," 599,600 "," 607,900 "," 614,400 "," 618,600 "," 622,600 "," 629,800 "," 638,300 "," 647,400 "
Santa Barbara," 303,200 "," 309,900 "," 318,000 "," 326,200 "," 333,900 "," 341,900 "," 348,300 "," 353,000 "," 359,800 "," 368,000 "
Santa Clara," 1,311,600 "," 1,332,300 "," 1,355,500 "," 1,379,100 "," 1,400,300 "," 1,415,300 "," 1,427,000 "," 1,445,100 "," 1,471,100 "," 1,493,800 "
Santa Cruz," 191,000 "," 194,600 "," 198,200 "," 201,700 "," 206,000 "," 210,700 "," 215,400 "," 219,200 "," 224,500 "," 228,700 "
Shasta," 118,600 "," 121,100 "," 122,500 "," 124,500 "," 127,500 "," 130,200 "," 132,700 "," 136,200 "," 140,100 "," 145,300 "
,,,,,,,,,,
Sierra," 3,080 "," 3,150 "," 3,250 "," 3,240 "," 3,230 "," 3,210 "," 3,160 "," 3,230 "," 3,230 "," 3,280 "
Siskiyou," 40,350 "," 41,000 "," 41,250 "," 41,150 "," 41,350 "," 41,300 "," 41,200 "," 41,650 "," 42,400 "," 43,300 "
Solano," 241,900 "," 250,700 "," 258,500 "," 263,800 "," 269,400 "," 278,500 "," 291,500 "," 304,500 "," 318,000 "," 335,200 "
Sonoma," 305,100 "," 311,500 "," 317,800 "," 323,100 "," 329,700 "," 338,800 "," 348,500 "," 359,600 "," 371,300 "," 384,700 "
Stanislaus," 271,700 "," 278,400 "," 285,200 "," 291,800 "," 298,400 "," 307,300 "," 318,900 "," 331,700 "," 346,400 "," 365,100 "
,,,,,,,,,,
Sutter," 53,200 "," 54,600 "," 56,100 "," 56,900 "," 57,300 "," 58,200 "," 59,200 "," 60,600 "," 61,800 "," 63,700 "
Tehama," 39,650 "," 40,700 "," 41,700 "," 42,550 "," 43,550 "," 44,350 "," 45,150 "," 46,300 "," 47,450 "," 49,100 "
Trinity," 12,150 "," 12,300 "," 12,350 "," 12,500 "," 12,700 "," 12,750 "," 12,600 "," 12,700 "," 13,000 "," 13,050 "
