,"Table 2: E-4 Population Estimates for Cities, Counties, and State",,,,,,,,
,2011-2018 with 2010 Benchmark,,,,,,,,
,,,,,,,,,
COUNTY/CITY,4/1/10,1/1/11,1/1/12,1/1/13,1/1/14,1/1/15,1/1/16,1/1/17,1/1/18
,,,,,,,,,
California,,,,,,,,,
Incorporated Total,"30,764,188","31,064,551","31,474,969","31,823,911","32,120,874","32,429,156","32,677,917","32,957,372","33,235,160"
Balance Of State Total,"6,489,768","6,465,362","6,400,008","6,410,480","6,447,754","6,483,308","6,501,710","6,543,601","6,574,533"
State Total,"37,253,956","37,529,913","37,874,977","38,234,391","38,568,628","38,912,464","39,179,627","39,500,973","39,809,693"
,,,,,,,,,
Alameda County,,,,,,,,,
Alameda             ,"73,812","74,100","74,728","75,460","76,058","76,489","77,969","78,575","78,863"
Albany              ,"18,539","18,354","18,503","18,497","18,482","18,540","18,561","18,646","19,053"
Berkeley            ,"112,580","114,002","114,966","116,206","117,498","118,543","119,435","120,700","121,874"
Dublin              ,"46,036","46,418","47,267","50,620","54,136","56,693","58,142","60,487","63,241"
Emeryville          ,"10,080","10,235","10,484","10,626","10,854","11,057","11,866","11,995","11,994"
Fremont             ,"214,089","216,433","220,032","223,290","226,869","229,582","231,647","233,893","235,439"
Hayward             ,"144,186","146,357","149,965","152,491","154,641","157,409","159,465","161,455","162,030"
Livermore           ,"80,968","81,898","83,184","84,486","85,819","87,090","88,974","90,454","91,411"
Newark              ,"42,573","42,821","43,305","43,780","44,170","44,529","44,997","45,668","47,467"
Oakland             ,"390,724","397,235","399,775","406,536","411,636","420,269","424,471","427,503","428,827"
Piedmont            ,"10,667","10,733","10,857","10,981","11,080","11,169","11,250","11,309","11,318"
Pleasanton          ,"70,285","70,565","71,312","72,145","73,079","74,639","75,838","76,748","79,201"
San Leandro         ,"84,950","84,773","85,346","86,042","86,554","86,893","86,961","87,376","87,598"
Union City          ,"69,516","69,666","70,440","71,318","71,850","72,103","72,518","72,975","72,991"
Balance Of County    ,"141,266","141,867","143,201","144,689","145,850","146,765","147,644","148,621","148,895"
Incorporated,"1,369,005","1,383,590","1,400,164","1,422,478","1,442,726","1,465,005","1,482,094","1,497,784","1,511,307"
County Total,"1,510,271","1,525,457","1,543,365","1,567,167","1,588,576","1,611,770","1,629,738","1,646,405","1,660,202"
,,,,,,,,,
Alpine County,,,,,,,,,
County Total,"1,175","1,169","1,166","1,164","1,163","1,163","1,160","1,156","1,154"
,,,,,,,,,
Amador County,,,,,,,,,
Amador              ,185,184,184,185,188,188,189,190,186
Ione                ,"7,918","7,521","7,334","6,914","6,976","6,963","6,945","7,683","8,058"
Jackson             ,"4,651","4,644","4,685","4,704","4,783","4,805","4,779","4,761","4,679"
Plymouth            ,"1,005","1,004","1,008","1,011","1,027","1,013","1,012","1,010","1,002"
Sutter Creek        ,"2,501","2,495","2,478","2,481","2,515","2,492","2,476","2,505","2,479"
Balance Of County    ,"21,831","21,868","21,962","22,009","22,326","22,304","22,266","22,233","21,690"
Incorporated,"16,260","15,848","15,689","15,295","15,489","15,461","15,401","16,149","16,404"
County Total,"38,091","37,716","37,651","37,304","37,815","37,765","37,667","38,382","38,094"
,,,,,,,,,
Butte County,,,,,,,,,
Biggs               ,"1,707","1,721","1,718","1,722","1,718","1,785","1,917","1,913","1,913"
Chico               ,"86,187","86,847","87,587","88,109","88,867","89,752","90,203","91,398","92,348"
Gridley             ,"6,584","6,635","6,653","6,840","6,869","6,917","6,919","6,930","6,937"
Oroville            ,"15,546","15,429","15,455","15,890","15,902","16,056","17,853","18,008","18,144"
Paradise            ,"26,218","25,900","25,796","25,822","25,883","25,907","25,830","26,228","26,572"
Balance Of County    ,"83,758","84,179","83,891","83,802","83,898","83,868","81,710","81,926","81,707"
Incorporated,"136,242","136,532","137,209","138,383","139,239","140,417","142,722","144,477","145,914"
County Total,"220,000","220,711","221,100","222,185","223,137","224,285","224,432","226,403","227,621"
,,,,,,,,,
Calaveras County,,,,,,,,,
Angels City,"3,836","3,939","3,916","3,936","3,960","4,086","4,178","4,108","4,121"
Balance Of County    ,"41,742","41,601","41,580","41,488","41,398","41,181","41,068","41,067","41,036"
Incorporated,"3,836","3,939","3,916","3,936","3,960","4,086","4,178","4,108","4,121"
County Total,"45,578","45,540","45,496","45,424","45,358","45,267","45,246","45,175","45,157"
,,,,,,,,,
Colusa County,,,,,,,,,
Colusa              ,"5,971","5,980","6,025","6,032","6,202","6,226","6,231","6,257","6,241"
Williams            ,"5,123","5,196","5,235","5,275","5,405","5,368","5,353","5,365","5,465"
Balance Of County    ,"10,325","10,344","10,359","10,391","10,187","10,279","10,381","10,428","10,392"
Incorporated,"11,094","11,176","11,260","11,307","11,607","11,594","11,584","11,622","11,706"
County Total,"21,419","21,520","21,619","21,698","21,794","21,873","21,965","22,050","22,098"
,,,,,,,,,
Contra Costa County,,,,,,,,,
Antioch             ,"102,372","103,868","105,951","107,544","109,275","110,698","112,177","112,280","113,061"
Brentwood           ,"51,481","52,192","53,079","54,022","55,614","57,588","59,484","61,383","63,042"
Clayton             ,"10,897","10,897","10,920","11,041","11,146","11,188","11,234","11,342","11,431"
Concord             ,"122,067","123,297","123,803","124,732","125,610","126,433","127,926","128,282","129,159"
Danville            ,"42,039","41,884","42,076","42,387","42,753","43,161","43,458","44,048","44,396"
El Cerrito          ,"23,549","23,585","23,689","23,887","24,071","24,204","24,455","24,674","24,939"
Hercules            ,"24,060","24,214","24,470","24,704","24,920","25,206","25,512","26,185","26,317"
Lafayette           ,"23,893","23,904","24,017","24,215","24,550","24,902","25,078","25,416","25,655"
Martinez            ,"35,824","35,968","36,110","36,554","36,829","37,264","37,415","37,831","38,097"
Moraga              ,"16,016","16,097","16,234","16,376","16,507","16,658","16,776","16,866","16,991"
Oakley,"35,432","36,266","36,770","37,705","38,661","39,729","40,459","41,116","41,742"
Orinda              ,"17,643","17,688","17,803","17,961","18,137","18,637","18,821","19,012","19,199"
Pinole              ,"18,390","18,397","18,479","18,627","18,756","18,839","18,924","19,101","19,236"
Pittsburg           ,"63,264","64,483","65,407","66,499","67,849","68,895","70,233","71,342","72,647"
Pleasant Hill       ,"33,152","33,306","33,579","33,894","34,178","34,503","34,745","34,944","35,068"
Richmond            ,"103,701","105,130","105,553","106,812","107,735","108,480","109,794","110,114","110,967"
San Pablo           ,"29,139","29,202","29,353","29,697","30,011","30,616","31,126","31,383","31,593"
San Ramon           ,"72,148","72,997","74,588","76,459","77,459","78,561","79,567","81,354","82,643"
Walnut Creek        ,"64,173","65,092","65,560","66,350","67,039","68,128","69,736","70,558","70,667"
