"Table 2: E-4 Population Estimates for Cities, Counties and State, 2001-2010",,,,,,,,,,,,
with 2000 & 2010 Census Counts,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY/CITY,4/1/00,1/1/01,1/1/02,1/1/03,1/1/04,1/1/05,1/1/06,1/1/07,1/1/08,1/1/09,1/1/10,4/1/10
,,,,,,,,,,,,
California,,,,,,,,,,,,
Incorporated Total,"27,536,281","27,963,077","28,387,895","28,784,956","29,188,535","29,444,833","29,657,437","29,938,382","30,191,092","30,526,566","30,747,555","30,764,175"
Balance Of State Total,"6,336,805","6,293,712","6,337,621","6,378,653","6,382,312","6,424,340","6,458,765","6,461,294","6,513,283","6,440,147","6,476,345","6,489,781"
State Total,"33,873,086","34,256,789","34,725,516","35,163,609","35,570,847","35,869,173","36,116,202","36,399,676","36,704,375","36,966,713","37,223,900","37,253,956"
,,,,,,,,,,,,
Alameda County,,,,,,,,,,,,
Alameda             ,"72,259","72,529","72,749","72,612","71,980","71,727","71,558","72,031","72,598","73,166","73,717","73,812"
Albany              ,"16,444","16,692","16,924","17,096","17,233","16,889","17,015","17,332","17,298","18,196","18,481","18,539"
Berkeley            ,"102,743","103,695","104,793","105,139","105,611","105,880","107,398","108,721","109,762","110,982","112,363","112,580"
Dublin              ,"30,023","32,437","33,514","35,229","36,991","38,147","39,868","41,309","44,321","45,104","45,681","46,036"
Emeryville          ,"6,882","7,186","7,181","7,376","7,483","7,998","8,248","8,818","9,362","9,702","9,795","10,080"
Fremont             ,"203,413","206,040","207,639","207,481","206,694","206,712","206,454","207,358","209,257","211,506","213,524","214,089"
Hayward             ,"140,030","141,444","141,850","141,263","140,681","140,530","140,305","140,720","141,495","142,642","143,921","144,186"
Livermore           ,"73,464","74,422","75,560","76,332","76,660","78,019","78,482","79,374","79,890","80,482","80,932","80,968"
Newark              ,"42,471","42,884","43,103","43,184","42,933","42,524","42,226","42,221","42,327","42,429","42,592","42,573"
Oakland             ,"399,566","399,262","399,296","397,440","394,917","389,937","386,350","385,882","387,554","389,913","391,475","390,724"
Piedmont            ,"10,952","10,973","10,969","10,893","10,807","10,690","10,599","10,589","10,601","10,638","10,674","10,667"
Pleasanton          ,"63,654","65,011","65,712","66,464","66,732","66,890","67,215","68,012","68,796","69,579","70,135","70,285"
San Leandro         ,"79,452","80,341","81,163","81,342","81,882","81,802","81,795","82,310","83,069","83,951","84,831","84,950"
Union City          ,"66,869","67,477","68,847","68,383","67,896","67,544","67,624","68,160","68,884","69,108","69,625","69,516"
Balance Of County    ,"135,717","136,792","137,763","137,658","137,907","137,447","137,234","137,785","138,871","140,401","141,494","141,266"
Incorporated,"1,308,222","1,320,393","1,329,300","1,330,234","1,328,500","1,325,289","1,325,137","1,332,837","1,345,214","1,357,398","1,367,746","1,369,005"
County Total,"1,443,939","1,457,185","1,467,063","1,467,892","1,466,407","1,462,736","1,462,371","1,470,622","1,484,085","1,497,799","1,509,240","1,510,271"
,,,,,,,,,,,,
Alpine County,"1,208","1,220","1,242","1,248","1,257","1,237","1,232","1,252","1,228","1,194","1,178","1,175"
,,,,,,,,,,,,
Amador County,,,,,,,,,,,,
Amador              ,196,199,203,202,201,206,202,199,194,189,187,185
Ione                ,"7,129","7,243","7,474","7,499","7,588","7,643","7,686","7,915","7,567","7,834","7,863","7,918"
Jackson             ,"3,989","4,029","4,098","4,175","4,242","4,408","4,541","4,581","4,615","4,600","4,638","4,651"
Plymouth            ,980,990,"1,029","1,072","1,060","1,053","1,045","1,028","1,024","1,006","1,004","1,005"
Sutter Creek        ,"2,303","2,320","2,348","2,405","2,426","2,636","2,618","2,591","2,576","2,519","2,503","2,501"
Balance Of County    ,"20,503","20,714","21,007","21,303","21,444","21,488","21,751","21,711","21,999","21,736","21,816","21,831"
Incorporated,"14,597","14,781","15,152","15,353","15,517","15,946","16,092","16,314","15,976","16,148","16,195","16,260"
County Total,"35,100","35,495","36,159","36,656","36,961","37,434","37,843","38,025","37,975","37,884","38,011","38,091"
,,,,,,,,,,,,
Butte County,,,,,,,,,,,,
Biggs               ,"1,793","1,786","1,786","1,783","1,770","1,747","1,722","1,714","1,702","1,705","1,711","1,707"
Chico               ,"60,516","64,810","66,481","67,862","70,322","72,459","77,348","82,784","85,034","85,739","86,136","86,187"
Gridley             ,"5,408","5,531","5,694","5,796","5,806","5,761","5,989","6,250","6,466","6,532","6,589","6,584"
Oroville            ,"13,004","13,053","13,201","13,481","13,631","13,762","13,961","14,998","15,063","15,377","15,529","15,546"
Paradise            ,"26,408","26,412","26,510","26,598","26,593","26,403","26,264","26,160","26,086","26,146","26,188","26,218"
Balance Of County    ,"96,042","92,999","93,270","93,869","93,297","92,823","89,406","84,495","83,450","83,388","83,814","83,758"
Incorporated,"107,129","111,592","113,672","115,520","118,122","120,132","125,284","131,906","134,351","135,499","136,153","136,242"
County Total,"203,171","204,591","206,942","209,389","211,419","212,955","214,690","216,401","217,801","218,887","219,967","220,000"
,,,,,,,,,,,,
Calaveras County,,,,,,,,,,,,
Angels City,"3,004","3,165","3,341","3,450","3,575","3,649","3,702","3,753","3,799","3,819","3,831","3,836"
Balance Of County    ,"37,550","37,877","38,432","39,201","39,979","40,699","41,342","41,724","41,871","41,813","41,771","41,742"
Incorporated,"3,004","3,165","3,341","3,450","3,575","3,649","3,702","3,753","3,799","3,819","3,831","3,836"
County Total,"40,554","41,042","41,773","42,651","43,554","44,348","45,044","45,477","45,670","45,632","45,602","45,578"
,,,,,,,,,,,,
Colusa County,,,,,,,,,,,,
Colusa              ,"5,402","5,446","5,526","5,599","5,661","5,557","5,626","5,683","5,708","5,896","5,953","5,971"
Williams            ,"3,670","3,747","3,832","3,978","4,173","4,658","4,879","5,005","5,098","5,070","5,118","5,123"
Balance Of County    ,"9,732","9,781","9,871","9,961","10,099","10,159","10,224","10,318","10,339","10,255","10,309","10,325"
Incorporated,"9,072","9,193","9,358","9,577","9,834","10,215","10,505","10,688","10,806","10,966","11,071","11,094"
County Total,"18,804","18,974","19,229","19,538","19,933","20,374","20,729","21,006","21,145","21,221","21,380","21,419"
,,,,,,,,,,,,
Contra Costa County,,,,,,,,,,,,
Antioch             ,"90,532","92,942","96,343","98,467","100,042","99,713","98,995","99,098","99,854","100,956","102,277","102,372"
Brentwood           ,"23,302","26,053","29,711","33,699","37,867","41,343","44,992","47,846","49,710","50,997","51,453","51,481"
Clayton             ,"10,762","10,909","10,922","10,907","10,942","10,843","10,714","10,661","10,717","10,813","10,899","10,897"
Concord             ,"121,872","122,874","123,415","123,061","123,119","122,373","120,732","120,049","120,592","121,285","122,109","122,067"
Danville            ,"41,715","42,491","42,563","42,572","42,571","42,113","41,479","41,311","41,364","41,712","42,067","42,039"
El Cerrito          ,"23,171","23,354","23,398","23,379","23,305","23,120","23,030","22,952","23,193","23,350","23,552","23,549"
Hercules            ,"19,488","19,738","19,953","20,218","21,427","22,832","23,090","23,380","23,795","23,938","24,079","24,060"
Lafayette           ,"23,908","24,048","24,233","24,150","24,072","23,857","23,539","23,472","23,567","23,696","23,895","23,893"
Martinez            ,"35,866","36,175","36,423","36,475","36,409","36,061","35,529","35,363","35,437","35,630","35,846","35,824"
Moraga              ,"16,290","16,399","16,387","16,345","16,287","16,133","15,911","15,842","15,863","15,929","16,019","16,016"
Oakley,"25,619","25,935","26,866","27,533","28,208","28,747","29,081","31,484","32,930","34,226","35,351","35,432"
Orinda              ,"17,599","17,719","17,723","17,679","17,637","17,514","17,283","17,240","17,341","17,484","17,647","17,643"
Pinole              ,"19,039","19,194","19,140","19,099","19,044","18,837","18,460","18,291","18,304","18,335","18,376","18,390"
Pittsburg           ,"56,769","57,706","59,355","60,259","60,667","61,120","60,926","61,324","61,873","62,201","63,181","63,264"
Pleasant Hill       ,"32,837","33,065","33,108","33,318","33,289","32,982","32,536","32,421","32,793","32,963","33,175","33,152"
Richmond            ,"99,216","100,008","100,342","100,353","100,727","101,098","100,732","101,805","102,313","102,887","103,764","103,701"
San Pablo           ,"30,256","30,278","30,004","29,834","29,856","29,632","29,024","28,752","28,848","29,232","29,245","29,139"
San Ramon           ,"44,722","46,320","47,890","48,800","51,199","53,923","60,134","64,173","66,642","69,428","71,788","72,148"
Walnut Creek        ,"64,296","65,231","65,199","65,002","65,092","64,705","63,681","63,302","63,339","63,786","64,240","64,173"
Balance Of County    ,"151,557","151,637","151,682","153,106","152,198","154,270","157,301","156,906","158,789","159,542","158,985","159,785"
Incorporated,"797,259","810,439","822,975","831,150","841,760","846,946","849,868","858,766","868,475","878,848","888,963","889,240"
County Total,"948,816","962,076","974,657","984,256","993,958","1,001,216","1,007,169","1,015,672","1,027,264","1,038,390","1,047,948","1,049,025"
,,,,,,,,,,,,
Del Norte County,,,,,,,,,,,,
Crescent City       ,"7,347","7,310","7,263","7,362","7,571","7,645","7,667","7,734","7,689","7,698","7,619","7,643"
Balance Of County    ,"20,160","20,124","20,254","20,382","20,458","20,606","20,629","20,644","20,837","20,867","20,962","20,967"
Incorporated,"7,347","7,310","7,263","7,362","7,571","7,645","7,667","7,734","7,689","7,698","7,619","7,643"
County Total,"27,507","27,434","27,517","27,744","28,029","28,251","28,296","28,378","28,526","28,565","28,581","28,610"
,,,,,,,,,,,,
El Dorado County,,,,,,,,,,,,
Placerville         ,"9,610","9,934","10,223","10,238","10,259","10,210","10,164","10,204","10,275","10,324","10,365","10,389"
South Lake Tahoe    ,"23,609","23,730","23,463","23,184","22,888","22,520","22,094","21,888","21,737","21,517","21,407","21,403"
Balance Of County    ,"123,080","126,415","129,614","132,773","135,837","139,009","141,960","144,134","145,885","147,309","148,910","149,266"
Incorporated,"33,219","33,664","33,686","33,422","33,147","32,730","32,258","32,092","32,012","31,841","31,772","31,792"
County Total,"156,299","160,079","163,300","166,195","168,984","171,739","174,218","176,226","177,897","179,150","180,682","181,058"
,,,,,,,,,,,,
Fresno County,,,,,,,,,,,,
Clovis              ,"68,516","69,992","72,514","75,805","80,111","84,552","88,239","90,155","92,484","93,629","95,447","95,631"
Coalinga            ,"15,798","15,833","15,830","15,765","16,335","16,566","16,662","17,330","18,310","18,295","18,197","18,087"
Firebaugh           ,"5,743","5,822","6,047","6,340","6,788","6,953","6,973","6,988","7,198","7,262","7,464","7,549"
Fowler              ,"3,979","4,073","4,191","4,298","4,523","4,602","4,705","5,101","5,387","5,476","5,561","5,570"
Fresno              ,"427,719","433,575","440,192","447,548","452,910","457,786","463,404","470,817","477,499","487,353","494,054","494,665"
Huron               ,"6,310","6,287","6,386","6,555","6,472","6,343","6,533","6,528","6,493","6,658","6,790","6,754"
Kerman              ,"8,548","8,717","9,416","9,792","10,350","10,985","12,062","12,571","12,841","13,286","13,551","13,544"
Kingsburg           ,"9,231","9,689","10,052","10,519","11,108","11,105","11,097","11,041","11,109","11,293","11,383","11,382"
Mendota             ,"7,890","8,013","8,235","8,478","9,047","9,179","9,316","10,037","10,548","10,761","10,983","11,014"
Orange Cove         ,"7,722","8,162","8,163","8,227","8,516","8,305","8,445","9,113","9,197","9,182","9,128","9,078"
Parlier             ,"11,145","11,458","12,197","12,433","12,571","13,018","13,278","13,506","13,903","14,244","14,463","14,494"
Reedley             ,"20,756","20,785","20,786","20,818","20,951","21,447","21,961","23,227","23,811","23,790","24,139","24,194"
Sanger              ,"18,931","19,094","19,287","19,574","19,991","21,297","22,352","23,713","24,187","24,118","24,286","24,270"
San Joaquin         ,"3,270","3,324","3,388","3,487","3,545","3,569","3,685","3,788","3,993","3,993","4,010","4,001"
Selma               ,"19,444","19,886","20,289","20,909","21,694","22,160","22,642","22,813","22,999","23,048","23,217","23,219"
Balance Of County    ,"164,405","163,901","164,836","166,708","168,145","168,191","167,774","166,360","166,562","166,172","167,085","166,998"
Incorporated,"635,002","644,710","656,973","670,548","684,912","697,867","711,354","726,728","739,959","752,388","762,673","763,452"
County Total,"799,407","808,611","821,809","837,256","853,057","866,058","879,128","893,088","906,521","918,560","929,758","930,450"
,,,,,,,,,,,,
Glenn County,,,,,,,,,,,,
Orland              ,"6,281","6,317","6,327","6,387","6,437","6,534","6,807","7,008","7,161","7,233","7,285","7,291"
Willows             ,"6,220","6,237","6,218","6,247","6,244","6,235","6,174","6,203","6,210","6,186","6,164","6,166"
Balance Of County    ,"13,952","14,030","14,157","14,340","14,529","14,625","14,647","14,661","14,695","14,669","14,671","14,665"
Incorporated,"12,501","12,554","12,545","12,634","12,681","12,769","12,981","13,211","13,371","13,419","13,449","13,457"
County Total,"26,453","26,584","26,702","26,974","27,210","27,394","27,628","27,872","28,066","28,088","28,120","28,122"
,,,,,,,,,,,,
Humboldt County,,,,,,,,,,,,
Arcata              ,"16,651","16,798","16,826","16,883","16,950","17,000","16,961","17,044","17,079","17,148","17,211","17,231"
Blue Lake           ,"1,137","1,148","1,180","1,192","1,203","1,212","1,212","1,216","1,221","1,236","1,247","1,253"
Eureka              ,"26,128","26,169","26,316","26,551","26,727","26,793","26,763","26,762","26,845","26,927","27,125","27,191"
Ferndale            ,"1,382","1,392","1,395","1,400","1,431","1,427","1,400","1,394","1,381","1,376","1,372","1,371"
Fortuna             ,"10,498","10,580","10,857","11,104","11,306","11,479","11,602","11,678","11,738","11,815","11,897","11,926"
